"Time","Source","Destination","Duration"
"06:06:27.555811","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000471"
"06:06:27.629596","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.073785"
"06:06:28.104294","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","0.093591"
"06:06:28.178720","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","0.042358"
"06:06:29.107421","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","0.027000"
"06:06:29.206977","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","0.073775"
"06:06:30.360335","166.104.142.150","api.smartthings.com","0.026081"
"06:06:30.363506","api.smartthings.com","166.104.142.150","0.003171"
"06:06:30.387581","166.104.142.150","api.smartthings.com","0.024075"
"06:06:30.659710","166.104.142.150","api.smartthings.com","0.000053"
"06:06:30.662592","api.smartthings.com","166.104.142.150","0.002882"
"06:06:30.664406","api.smartthings.com","166.104.142.150","0.001814"
"06:06:30.664410","api.smartthings.com","166.104.142.150","0.000004"
"06:06:30.664413","api.smartthings.com","166.104.142.150","0.000003"
"06:06:30.669435","166.104.142.150","api.smartthings.com","0.005022"
"06:06:30.675449","166.104.142.150","api.smartthings.com","0.006014"
"06:06:30.675568","166.104.142.150","api.smartthings.com","0.000119"
"06:06:30.700608","166.104.142.150","api.smartthings.com","0.025040"
"06:06:30.700769","166.104.142.150","api.smartthings.com","0.000161"
"06:06:30.700830","166.104.142.150","api.smartthings.com","0.000061"
"06:06:30.709389","api.smartthings.com","166.104.142.150","0.008559"
"06:06:30.709755","api.smartthings.com","166.104.142.150","0.000366"
"06:06:30.737161","166.104.142.150","api.smartthings.com","0.027406"
"06:06:30.740772","api.smartthings.com","166.104.142.150","0.003611"
"06:06:30.748622","166.104.142.150","api.smartthings.com","0.007850"
"06:06:30.751505","api.smartthings.com","166.104.142.150","0.002883"
"06:06:30.751509","api.smartthings.com","166.104.142.150","0.000004"
"06:06:30.804625","api.smartthings.com","166.104.142.150","0.053116"
"06:06:30.814690","166.104.142.150","api.smartthings.com","0.010065"
"06:06:30.814797","166.104.142.150","api.smartthings.com","0.000107"
"06:06:33.133793","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","0.149504"
"06:06:33.213151","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","0.010520"
"06:06:33.449378","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","0.004642"
"06:06:33.484959","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.035581"
"06:06:33.488265","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003306"
"06:06:33.800145","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.063701"
"06:06:33.821166","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.021021"
"06:06:33.821229","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.000063"
"06:06:33.871047","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.045448"
"06:06:33.919114","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.020368"
"06:06:33.922361","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000960"
"06:06:33.922750","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000389"
"06:06:33.968375","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.011266"
"06:06:33.977020","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.008645"
"06:06:34.016205","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.016369"
"06:06:34.016603","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.000398"
"06:06:34.033225","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.016622"
"06:06:34.174306","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","0.041399"
"06:06:34.239353","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","0.021728"
"06:06:34.475706","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","0.162044"
"06:06:35.123841","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.139882"
"06:06:35.127341","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003500"
"06:06:35.451080","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.074005"
"06:06:35.567903","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.116823"
"06:06:35.567994","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.000091"
"06:06:35.615047","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.020322"
"06:06:35.682846","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.025684"
"06:06:35.744234","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.001544"
"06:06:35.747493","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003259"
"06:06:35.748071","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000578"
"06:06:35.780199","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.032128"
"06:06:35.815832","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.014358"
"06:06:35.840650","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.024818"
"06:06:35.893734","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.006566"
"06:06:35.894023","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.000289"
"06:06:35.897832","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003809"
"06:06:35.904686","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.006854"
"06:06:36.692979","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.075737"
"06:06:36.696290","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003311"
"06:06:37.000198","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.079771"
"06:06:37.005724","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.005526"
"06:06:37.019493","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.013769"
"06:06:37.063289","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.043796"
"06:06:37.109239","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.039951"
"06:06:37.112494","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003255"
"06:06:37.112956","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000462"
"06:06:37.167374","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.032578"
"06:06:37.189801","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.022427"
