"No.","Time","Source","Destination","Protocol","Length","Info"
"8","07:20:52.152510","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=1 Ack=1 Win=5215 Len=0 TSval=86127 TSecr=748454435"
"10","07:20:52.155540","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"11","07:20:52.159960","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1 Ack=48 Win=27 Len=0 TSval=748454511 TSecr=86128"
"26","07:20:53.067477","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","143","Application Data"
"29","07:20:53.108856","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"32","07:20:53.113132","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=78 Ack=95 Win=27 Len=0 TSval=748455464 TSecr=86223"
"72","07:20:54.067636","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","162","Application Data"
"74","07:20:54.080238","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"75","07:20:54.084608","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=174 Ack=142 Win=27 Len=0 TSval=748456436 TSecr=86320"
"97","07:20:54.514066","Galaxy-Note10-5G-lan.local","api.smartthings.com","TLSv1.2","448","Application Data"
"98","07:20:54.521367","api.smartthings.com","Galaxy-Note10-5G-lan.local","TLSv1.2","291","Application Data"
"99","07:20:54.530189","Galaxy-Note10-5G-lan.local","api.smartthings.com","TCP","66","33158  >  https(443) [ACK] Seq=383 Ack=226 Win=422 Len=0 TSval=1328687860 TSecr=3009994542"
"148","07:20:55.739245","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","147","Application Data"
"153","07:20:55.847696","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"154","07:20:55.852050","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=255 Ack=189 Win=27 Len=0 TSval=748458203 TSecr=86497"
"156","07:20:55.906853","Galaxy-Note10-5G-lan.local","api.smartthings.com","TLSv1.2","705","Application Data"
"157","07:20:55.908132","Galaxy-Note10-5G-lan.local","api.smartthings.com","TLSv1.2","1253","Application Data"
"158","07:20:55.910563","api.smartthings.com","Galaxy-Note10-5G-lan.local","TCP","66","https(443)  >  47746 [ACK] Seq=1 Ack=640 Win=151 Len=0 TSval=1274099933 TSecr=2601095727"
"159","07:20:55.912268","api.smartthings.com","Galaxy-Note10-5G-lan.local","TCP","66","https(443)  >  47730 [ACK] Seq=1 Ack=1188 Win=190 Len=0 TSval=1274099934 TSecr=2601095727"
"160","07:20:56.067973","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","146","Application Data"
"162","07:20:56.107490","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"163","07:20:56.112025","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=335 Ack=236 Win=27 Len=0 TSval=748458463 TSecr=86523"
"165","07:20:56.143868","api.smartthings.com","Galaxy-Note10-5G-lan.local","TCP","1514","https(443)  >  47746 [ACK] Seq=1 Ack=640 Win=151 Len=1448 TSval=1274100166 TSecr=2601095727 [TCP segment of a reassembled PDU]"
"166","07:20:56.143872","api.smartthings.com","Galaxy-Note10-5G-lan.local","TLSv1.2","787","Application Data"
"167","07:20:56.149247","Galaxy-Note10-5G-lan.local","api.smartthings.com","TCP","66","47746  >  https(443) [ACK] Seq=640 Ack=1449 Win=444 Len=0 TSval=2601095972 TSecr=1274100166"
"168","07:20:56.149317","Galaxy-Note10-5G-lan.local","api.smartthings.com","TCP","66","47746  >  https(443) [ACK] Seq=640 Ack=2170 Win=456 Len=0 TSval=2601095972 TSecr=1274100166"
"170","07:20:56.179145","Galaxy-Note10-5G-lan.local","api.smartthings.com","TLSv1.2","792","Application Data"
"171","07:20:56.182982","api.smartthings.com","Galaxy-Note10-5G-lan.local","TCP","66","https(443)  >  47746 [ACK] Seq=2170 Ack=1366 Win=160 Len=0 TSval=1274100205 TSecr=2601095990"
"174","07:20:56.235679","api.smartthings.com","Galaxy-Note10-5G-lan.local","TLSv1.2","1111","Application Data"
"176","07:20:56.243060","Galaxy-Note10-5G-lan.local","api.smartthings.com","TCP","66","47730  >  https(443) [ACK] Seq=1188 Ack=1046 Win=512 Len=0 TSval=2601096066 TSecr=1274100257"
"177","07:20:56.274294","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","128","Application Data"
"188","07:20:56.303814","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"189","07:20:56.308329","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=397 Ack=283 Win=27 Len=0 TSval=748458660 TSecr=86540"
"190","07:20:56.309437","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"218","07:20:56.319726","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"219","07:20:56.325503","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","275","Application Data"
"222","07:20:56.364149","api.smartthings.com","Galaxy-Note10-5G-lan.local","TLSv1.2","511","Application Data"
"223","07:20:56.371292","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=330 Ack=653 Win=5215 Len=0 TSval=86550 TSecr=748458677"
"224","07:20:56.371369","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"225","07:20:56.376974","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","151","Application Data"
"226","07:20:56.381301","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=377 Ack=738 Win=5215 Len=0 TSval=86550 TSecr=748458728"
"228","07:20:56.418288","Galaxy-Note10-5G-lan.local","api.smartthings.com","TCP","66","47746  >  https(443) [ACK] Seq=1366 Ack=2615 Win=467 Len=0 TSval=2601096242 TSecr=1274100386"
"237","07:20:56.541633","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"239","07:20:56.589069","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=738 Ack=424 Win=27 Len=0 TSval=748458940 TSecr=86566"
"244","07:20:57.068003","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","159","Application Data"
"246","07:20:57.076115","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=424 Ack=831 Win=5215 Len=0 TSval=86619 TSecr=748459419"
"248","07:20:57.080922","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"249","07:20:57.085483","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=831 Ack=471 Win=27 Len=0 TSval=748459437 TSecr=86620"
"251","07:20:57.113042","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"252","07:20:57.117322","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=831 Ack=518 Win=27 Len=0 TSval=748459469 TSecr=86624"
"594","07:20:58.182812","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","259","Application Data"
"595","07:20:58.187096","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=831 Ack=711 Win=27 Len=0 TSval=748460538 TSecr=86730"
"779","07:20:59.068280","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","142","Application Data"
"782","07:20:59.081651","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
