"No.","Time","Source","Destination","Protocol","Length","Info"
"91694","07:26:47.129788","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"91715","07:26:47.134052","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=10646 Ack=7351 Win=27 Len=0 TSval=748809476 TSecr=121642"
"95090","07:26:48.088047","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","147","Application Data"
"95173","07:26:48.110279","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"95189","07:26:48.114485","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=10727 Ack=7398 Win=27 Len=0 TSval=748810456 TSecr=121740"
"98559","07:26:49.069263","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","146","Application Data"
"98591","07:26:49.077817","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"98607","07:26:49.082193","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=10807 Ack=7445 Win=27 Len=0 TSval=748811424 TSecr=121837"
"101316","07:26:49.845546","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","322","Application Data"
"101344","07:26:49.853343","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"101366","07:26:49.857988","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11063 Ack=7492 Win=27 Len=0 TSval=748812200 TSecr=121915"
"101793","07:26:49.982042","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","464","Application Data"
"101806","07:26:49.986358","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11063 Ack=7890 Win=27 Len=0 TSval=748812328 TSecr=121927"
"101822","07:26:49.987880","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"102021","07:26:50.043566","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=7890 Ack=11110 Win=5215 Len=0 TSval=121934 TSecr=748812330"
"102094","07:26:50.067412","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","159","Application Data"
"102110","07:26:50.071618","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=7890 Ack=11203 Win=5215 Len=0 TSval=121936 TSecr=748812409"
"102161","07:26:50.086092","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"102342","07:26:50.137158","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=11203 Ack=7937 Win=27 Len=0 TSval=748812479 TSecr=121937"
"105634","07:26:51.093224","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","[TCP Keep-Alive] https(443)  >  33900 [ACK] Seq=11202 Ack=7937 Win=27 Len=0 TSval=748813435 TSecr=121937"
"105676","07:26:51.103555","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","[TCP Keep-Alive ACK] 33900  >  https(443) [ACK] Seq=7937 Ack=11203 Win=5215 Len=0 TSval=122039 TSecr=748812479"
"109055","07:26:52.069546","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","142","Application Data"
"109170","07:26:52.094521","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
