"No.","Time","Source","Destination","Protocol","Length","Info"
"1","06:43:40.243126","Master","Slave","LE LL","26","Empty PDU"
"2","06:43:40.244123","Slave","Master","LE LL","26","Empty PDU"
"3","06:43:40.244123","Master","Slave","LE LL","26","Empty PDU"
"4","06:43:40.245125","Slave","Master","LE LL","26","Empty PDU"
"5","06:43:40.246118","Master","Slave","LE LL","26","Empty PDU"
"6","06:43:40.247115","Slave","Master","LE LL","26","Empty PDU"
"7","06:43:40.247115","Master","Slave","LE LL","26","Empty PDU"
"8","06:43:40.248112","Slave","Master","LE LL","26","Empty PDU"
"9","06:43:40.249109","Master","Slave","LE LL","26","Empty PDU"
"10","06:43:40.249109","Slave","Master","LE LL","26","Empty PDU"
"11","06:43:40.250108","Master","Slave","LE LL","26","Empty PDU"
"12","06:43:40.251104","Slave","Master","LE LL","26","Empty PDU"
"13","06:43:40.252101","Master","Slave","LE LL","26","Empty PDU"
"14","06:43:40.252101","Slave","Master","LE LL","26","Empty PDU"
"15","06:43:40.253099","Master","Slave","LE LL","26","Empty PDU"
"16","06:43:40.254095","Slave","Master","LE LL","26","Empty PDU"
"17","06:43:40.255093","Master","Slave","LE LL","26","Empty PDU"
"18","06:43:40.255093","Slave","Master","LE LL","26","Empty PDU"
"19","06:43:40.256091","Master","Slave","LE LL","26","Empty PDU"
"20","06:43:40.257087","Slave","Master","LE LL","26","Empty PDU"
"21","06:43:40.257087","Master","Slave","LE LL","26","Empty PDU"
"22","06:43:40.258086","Slave","Master","LE LL","26","Empty PDU"
"23","06:43:40.259082","Master","Slave","LE LL","26","Empty PDU"
"24","06:43:40.259082","Slave","Master","LE LL","26","Empty PDU"
"25","06:43:40.260080","Master","Slave","LE LL","26","Empty PDU"
"26","06:43:40.261078","Master","Slave","LE LL","26","Empty PDU"
"27","06:43:40.261078","Slave","Master","LE LL","26","Empty PDU"
"28","06:43:40.262073","Master","Slave","LE LL","26","Empty PDU"
"29","06:43:40.262073","Slave","Master","LE LL","26","Empty PDU"
"30","06:43:40.263071","Master","Slave","LE LL","26","Empty PDU"
"31","06:43:40.264070","Slave","Master","LE LL","26","Empty PDU"
"32","06:43:40.264070","Master","Slave","LE LL","26","Empty PDU"
"33","06:43:40.265067","Slave","Master","LE LL","26","Empty PDU"
"34","06:43:40.266063","Master","Slave","LE LL","26","Empty PDU"
"35","06:43:40.266063","Slave","Master","LE LL","26","Empty PDU"
"36","06:43:40.267060","Master","Slave","LE LL","26","Empty PDU"
"37","06:43:40.268058","Slave","Master","LE LL","26","Empty PDU"
"38","06:43:40.269055","Master","Slave","LE LL","26","Empty PDU"
"39","06:43:40.269055","Slave","Master","LE LL","26","Empty PDU"
"40","06:43:40.270054","Master","Slave","LE LL","26","Empty PDU"
"41","06:43:40.271050","Slave","Master","LE LL","26","Empty PDU"
"42","06:43:40.272047","Master","Slave","LE LL","26","Empty PDU"
"43","06:43:40.273045","Slave","Master","LE LL","26","Empty PDU"
"44","06:43:40.273045","Master","Slave","LE LL","26","Empty PDU"
"45","06:43:40.274042","Slave","Master","LE LL","26","Empty PDU"
"46","06:43:40.275039","Master","Slave","LE LL","26","Empty PDU"
"47","06:43:40.276038","Slave","Master","LE LL","26","Empty PDU"
"48","06:43:40.276038","Master","Slave","LE LL","26","Empty PDU"
"49","06:43:40.277034","Slave","Master","LE LL","26","Empty PDU"
"50","06:43:40.278031","Master","Slave","LE LL","26","Empty PDU"
"51","06:43:40.278031","Slave","Master","LE LL","26","Empty PDU"
"52","06:43:40.279031","Master","Slave","LE LL","26","Empty PDU"
"53","06:43:40.280026","Slave","Master","LE LL","26","Empty PDU"
"54","06:43:40.281024","Master","Slave","LE LL","153","L2CAP Fragment"
"55","06:43:40.282021","Master","Slave","LE LL","26","Empty PDU"
"56","06:43:40.283032","Slave","Master","LE LL","26","Empty PDU"
"57","06:43:40.284015","Master","Slave","LE LL","26","Empty PDU"
"58","06:43:40.286010","Slave","Master","LE LL","26","Empty PDU"
"59","06:43:40.286010","Master","Slave","LE LL","26","Empty PDU"
"60","06:43:40.287007","Slave","Master","LE LL","26","Empty PDU"
"61","06:43:40.288005","Master","Slave","LE LL","26","Empty PDU"
"62","06:43:40.288005","Slave","Master","LE LL","26","Empty PDU"
"63","06:43:40.289001","Master","Slave","LE LL","26","Empty PDU"
"64","06:43:40.289001","Slave","Master","LE LL","26","Empty PDU"
"65","06:43:40.289999","Master","Slave","LE LL","26","Empty PDU"
"66","06:43:40.290997","Slave","Master","LE LL","26","Empty PDU"
"67","06:43:40.290997","Master","Slave","LE LL","26","Empty PDU"
"68","06:43:40.291994","Slave","Master","LE LL","26","Empty PDU"
"69","06:43:40.293012","Master","Slave","LE LL","26","Empty PDU"
"70","06:43:40.293989","Slave","Master","LE LL","26","Empty PDU"
"71","06:43:40.294986","Master","Slave","LE LL","26","Empty PDU"
"72","06:43:40.295983","Slave","Master","LE LL","26","Empty PDU"
"73","06:43:40.295983","Master","Slave","LE LL","26","Empty PDU"
"74","06:43:40.296982","Master","Slave","LE LL","26","Empty PDU"
"75","06:43:40.297978","Slave","Master","LE LL","26","Empty PDU"
"76","06:43:40.297978","Master","Slave","LE LL","26","Empty PDU"
"77","06:43:40.298976","Slave","Master","LE LL","26","Empty PDU"
"78","06:43:40.299973","Master","Slave","LE LL","26","Empty PDU"
"79","06:43:40.300985","Master","Slave","LE LL","26","Empty PDU"
"80","06:43:40.302966","Master","Slave","LE LL","26","Empty PDU"
"81","06:43:40.304293","Slave","Master","LE LL","26","Empty PDU"
"82","06:43:40.304960","Master","Slave","LE LL","26","Empty PDU"
"83","06:43:40.306048","Slave","Master","LE LL","26","Empty PDU"
"84","06:43:40.306048","Master","Slave","LE LL","26","Empty PDU"
"85","06:43:40.306955","Slave","Master","LE LL","26","Empty PDU"
"86","06:43:40.306955","Master","Slave","LE LL","26","Empty PDU"
"87","06:43:40.308021","Slave","Master","LE LL","26","Empty PDU"
"88","06:43:40.308021","Master","Slave","LE LL","26","Empty PDU"
