"Time","Source","Destination","Duration"
"2020-09-20 15:43:47.903278","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.911259","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007981"
"2020-09-20 15:43:47.919268","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.927246","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007978"
"2020-09-20 15:43:47.935199","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.939463","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.004264"
"2020-09-20 15:43:47.951470","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003779"
"2020-09-20 15:43:47.955676","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.004206"
"2020-09-20 15:43:47.963672","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.971654","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007982"
"2020-09-20 15:43:47.980816","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.988863","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.008047"
"2020-09-20 15:43:47.996816","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003993"
"2020-09-20 15:43:48.004808","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007992"
"2020-09-20 15:43:48.012793","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003992"
"2020-09-20 15:43:48.016790","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003997"
"2020-09-20 15:43:48.028776","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003902"
"2020-09-20 15:43:48.032757","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003981"
"2020-09-20 15:43:48.040752","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:48.048747","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007995"
"2020-09-20 15:43:48.056738","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:48.064767","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.008029"
"2020-09-20 15:43:48.072702","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003944"
"2020-09-20 15:43:48.084737","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.008042"
"2020-09-20 15:43:48.093049","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:48.108658","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007989"
"2020-09-20 15:43:48.116647","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003956"
"2020-09-20 15:43:48.188599","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.020019"
"2020-09-20 15:43:48.244923","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003929"
"2020-09-20 15:43:48.288977","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.044054"
"2020-09-20 15:43:48.340922","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003993"
"2020-09-20 15:43:48.431763","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.042913"
"2020-09-20 15:43:48.483668","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003967"
"2020-09-20 15:43:48.529399","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.045731"
"2020-09-20 15:43:48.584085","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.002991"
"2020-09-20 15:43:48.629916","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.045831"
"2020-09-20 15:43:48.685978","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.005919"
"2020-09-20 15:43:48.777267","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.045030"
"2020-09-20 15:43:48.830295","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003993"
"2020-09-20 15:43:48.870172","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.039877"
"2020-09-20 15:43:48.922374","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.001964"
"2020-09-20 15:43:59.110645","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.048712"
"2020-09-20 15:43:59.160489","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000966"
"2020-09-20 15:43:59.211803","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.051314"
"2020-09-20 15:43:59.263056","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003990"
"2020-09-20 15:44:01.111211","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.047875"
"2020-09-20 15:44:01.163142","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003986"
"2020-09-20 15:44:01.211137","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.047995"
"2020-09-20 15:44:01.263069","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.007676"
"2020-09-20 15:44:09.302703","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.047998"
"2020-09-20 15:44:09.350642","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003892"
"2020-09-20 15:44:09.398566","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.047924"
"2020-09-20 15:44:09.446180","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000965"
